	Position	CompanyName	Skills	Published	MoreInfo
53	Data Analyst	Golden Opportunities Pvt Ltd	information technology, data dictionary, Critical data	Posted 1 day ago	https://www.timesjobs.com/job-detail/data-analyst-golden-opportunities-pvt-ltd-delhi-delhi-ncr-6-to-9-yrs-jobid-lHFRuhhDQa1zpSvf__PLUS__uAgZw==&source=srp
54	Data Analyst	gartner india research and advisory services	information technology, bi, database, crm, problem solving, team player, written communication, it strategy	Posted 1 day ago	https://www.timesjobs.com/job-detail/data-analyst-gartner-india-research-and-advisory-services-gurgaon-3-to-5-yrs-jobid-fYxqL4J7q41zpSvf__PLUS__uAgZw==&source=srp
55	Data Analyst	3D PLM Software Solutions Ltd	clinical data management, ich, clinical, gcp	Posted 1 day ago	https://www.timesjobs.com/job-detail/data-analyst-3d-plm-software-solutions-ltd-pune-4-to-6-yrs-jobid-gc0sy5BCax5zpSvf__PLUS__uAgZw==&source=srp
56	Data Analyst	ari global solutions	data mining, bi, sql, database, big data, crm, python, sas, machine learning	Posted 3 days ago	https://www.timesjobs.com/job-detail/data-analyst-ari-global-solutions-chennai-3-to-7-yrs-jobid-WrsC36__PLUS__zPW5zpSvf__PLUS__uAgZw==&source=srp
57	Data Analyst	toll group india	reports, bi, unit testing, security, paas, software engineering, saas, coe	Posted 2 days ago	https://www.timesjobs.com/job-detail/data-analyst-toll-group-india-pune-5-to-10-yrs-jobid-A6uD1umzzY9zpSvf__PLUS__uAgZw==&source=srp
58	Data Analyst	Cactus Communications Pvt Ltd	algorithms, data mining, sql, apache, xml, hadoop, python, oracle, sas, javascript, business objects	Posted 5 days ago	https://www.timesjobs.com/job-detail/data-analyst-cactus-communications-pvt-ltd-mumbai-0-to-3-yrs-jobid-Oljnf9wvaVZzpSvf__PLUS__uAgZw==&source=srp
59	data analyst	HR DEVI AND ASSOCIATES	data mining, sql, sql developer, python, business objects	Posted 3 days ago	https://www.timesjobs.com/job-detail/data-analyst-hr-devi-and-associates-gurgaon-4-to-7-yrs-jobid-uR6GP13IfIhzpSvf__PLUS__uAgZw==&source=srp
60	Data Analyst	nielsen media	hive, bi, data warehousing, sql, distributed databases, hadoop, big data, cloud services, python, reporting tools	Posted 3 days ago	https://www.timesjobs.com/job-detail/data-analyst-nielsen-media-bengaluru-bangalore-5-to-8-yrs-jobid-4zn__PLUS__eRJekMZzpSvf__PLUS__uAgZw==&source=srp
61	Data Analyst	Citibank India	administrative work, management, accommodation	Posted 4 days ago	https://www.timesjobs.com/job-detail/data-analyst-citibank-india-pune-0-to-3-yrs-jobid-Zo3G4h5BqmlzpSvf__PLUS__uAgZw==&source=srp
62	Data Analyst	altbalaji	javascript, sql, logical thinking	Posted 3 days ago	https://www.timesjobs.com/job-detail/data-analyst-altbalaji-mumbai-2-to-5-yrs-jobid-SVdejNTyl3VzpSvf__PLUS__uAgZw==&source=srp
63	Data Analyst	SYSTEMS PLUS SOLUTIONS	professional communication, grammar, Python	Posted 4 days ago	https://www.timesjobs.com/job-detail/data-analyst-systems-plus-solutions-mumbai-4-to-6-yrs-jobid-7rl9tLBLC39zpSvf__PLUS__uAgZw==&source=srp
